back.286,484,599,235,559,615
back.284,486,606,238,560,622
back.300,480,605,236,555,622
back.284,478,592,229,554,608
back.283,453,575,197,529,587
back.285,486,603,236,561,620
back.304,481,609,237,556,625
back.297,483,608,241,560,626
back.281,471,580,214,549,594
back.288,487,607,241,564,626
back.303,481,609,238,556,626
back.293,486,606,240,561,622
back.281,449,572,195,525,583
back.284,461,575,200,538,588
back.292,528,625,282,610,647
back.311,556,660,440,666,724
back.284,571,599,481,697,641
back.302,639,684,496,748,727
back.297,677,639,665,815,691
back.290,616,630,570,749,691
back.290,599,668,448,705,714
back.329,638,716,497,742,758
back.289,602,623,696,767,721
back.289,563,654,426,669,713
back.298,510,624,274,588,646
back.288,488,608,241,563,623
back.284,492,612,246,568,629
back.300,546,654,324,635,684
back.284,542,587,413,665,612
back.284,532,591,346,630,616
back.286,511,623,281,589,646
back.308,507,623,267,586,641
back.292,555,652,329,644,678
back.287,559,596,429,678,628
back.285,528,602,329,616,629
back.284,491,594,245,564,607
back.281,470,581,214,544,594
back.285,470,584,212,545,597
back.286,489,599,233,564,611
back.291,524,593,255,607,606
left.306,459,611,218,528,619
left.309,463,615,221,532,623
left.311,465,618,222,533,624
left.316,466,624,226,536,629
left.311,456,618,221,541,622
left.299,473,619,229,557,630
left.323,486,638,238,568,645
left.333,463,653,241,546,655
left.326,467,644,236,560,646
left.323,477,679,263,579,686
left.339,470,718,280,569,719
left.373,478,751,291,562,742
left.326,481,825,374,535,887
left.407,481,856,336,606,829
left.385,489,883,371,577,906
left.354,502,846,402,666,912
left.420,543,841,350,681,820
left.416,558,858,391,700,900
left.437,547,853,343,666,823
left.468,523,901,326,682,865
left.418,493,859,359,594,846
left.339,492,729,288,596,724
left.339,500,743,307,600,748
left.319,473,753,337,575,795
left.333,467,673,252,571,669
left.307,451,620,219,528,620
left.300,448,612,220,523,619
left.298,459,626,234,525,637
left.310,457,616,219,546,618
left.308,455,613,216,544,615
left.317,457,630,228,550,634
left.308,454,615,217,542,619
left.307,457,622,226,531,629
left.306,485,640,245,556,649
left.320,458,634,225,542,632
left.308,449,626,224,524,630
left.309,486,647,247,547,656
left.328,464,639,226,551,636
left.316,458,632,227,541,634
left.291,463,600,236,527,626
